Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/24,Thursday,NETFLIX ,183,Entertainment
8/24,Thursday,TIKTOK,68,Entertainment
8/24,Thursday,MESSAGES,40,Social Media
8/25,Friday,NETFLIX ,720,Entertainment
8/25,Friday,TIKTOK,123,Entertainment
8/25,Friday,TWITCH,88,Entertainment
8/25,Friday,MESSAGES,36,Social Media
8/26,Saturday,NETFLX ,157,Entertainment
8/26,Saturday,TIKTOK,132,Entertainment
8/26,Saturday,TWITCH,110,Entertainment
8/26,Saturday,INSTAGRAM,29,Social Media
8/26,Saturday,MESSAGES,31,Social Media
8/27,Sunday,TIKTOK,213,Entertainment
8/27,Sunday,FACEBOOK ,135,Social Media
8/27,Sunday,NETFLIX ,125,Entertainment
8/27,Sunday,MESSAGES,21,Social Media
8/28,Monday,NETFLIX ,420,Entertainment
8/28,Monday,PHOTOS,86,Other
8/28,Monday,FACEBOOK ,75,Social Media
8/28,Monday,TIKTOK,33,Entertainment
8/28,Monday,MESSAGES,17,Social Media
8/29,Tuesday,NETFLIX ,197,Entertainment
8/29,Tuesday,TIKTOK,155,Entertainment
8/29,Tuesday,FACEBOOK ,84,Social Media
8/29,Tuesday,MESSAGES,76,Social Media
8/29,Tuesday,YOUTUBE,68,Entertainment
8/30,Wednesday,TIKTOK,152,Entertainment
8/30,Wednesday,MESSAGES,81,Social Media
8/30,Wednesday,NETFLIX ,73,Entertainment
8/31,Thursday,MESSAGES,67,Social Media
8/31,Thursday,TIKTOK,65,Entertainment
8/31,Thursday,NETFLIX,47,Entertainment
8/31,Thursday,INSTAGRAM,33,Social Media